index,airborne delay cost,ground delay cost,transform
"[35, 31, 27, 37, 35, 36, 35, 36, 36, 32, 34, 34, 30, 36, 27, 23, 28, 25]",2445.059113640102,85.0,1
"[35, 31, 28, 35, 35, 37, 35, 36, 36, 32, 34, 34, 30, 36, 27, 23, 28, 25]",2445.059113640102,85.0,1
"[35, 31, 28, 35, 36, 36, 35, 36, 36, 32, 34, 34, 30, 36, 27, 23, 28, 25]",2445.059113640102,85.0,1
"[35, 31, 28, 36, 35, 36, 35, 36, 36, 32, 33, 34, 31, 36, 27, 23, 28, 25]",2437.865419392313,90.0,0
"[35, 31, 28, 35, 36, 36, 35, 36, 36, 32, 33, 34, 31, 36, 27, 23, 28, 25]",2437.865419392313,90.0,1
"[35, 31, 28, 35, 35, 37, 35, 36, 36, 32, 33, 34, 31, 36, 27, 23, 28, 25]",2437.865419392313,90.0,1
"[35, 31, 27, 37, 35, 36, 35, 36, 36, 32, 33, 34, 31, 36, 27, 23, 28, 25]",2437.865419392313,90.0,1
"[35, 31, 28, 35, 36, 36, 35, 36, 36, 32, 33, 34, 31, 36, 27, 23, 28, 25]",2437.865419392313,90.0,1
"[35, 31, 28, 35, 36, 36, 35, 36, 36, 32, 33, 34, 31, 36, 27, 23, 28, 25]",2437.865419392313,90.0,1
"[35, 31, 27, 36, 36, 36, 35, 36, 36, 32, 33, 34, 31, 36, 27, 23, 28, 25]",2437.865419392313,90.0,1
"[35, 31, 27, 37, 35, 36, 35, 36, 36, 32, 33, 34, 31, 36, 27, 23, 28, 25]",2437.865419392313,90.0,1
"[35, 31, 28, 35, 35, 37, 35, 36, 36, 32, 33, 34, 31, 36, 27, 23, 28, 25]",2437.865419392313,90.0,1
"[35, 31, 28, 35, 36, 36, 35, 36, 36, 32, 33, 34, 31, 36, 27, 23, 28, 25]",2437.865419392313,90.0,1
"[35, 31, 28, 35, 36, 36, 35, 36, 36, 32, 33, 34, 31, 36, 27, 23, 28, 25]",2437.865419392313,90.0,1
"[35, 31, 28, 36, 35, 36, 35, 36, 36, 32, 33, 34, 31, 36, 27, 22, 28, 26]",2437.865419392313,90.0,1
"[35, 31, 27, 37, 35, 36, 35, 36, 36, 32, 33, 34, 31, 36, 27, 23, 28, 25]",2437.865419392313,90.0,1
"[35, 31, 28, 36, 35, 36, 35, 36, 36, 32, 33, 33, 31, 37, 27, 23, 28, 25]",2437.865419392313,90.0,1
"[35, 31, 28, 36, 35, 35, 35, 37, 36, 32, 33, 34, 31, 36, 27, 23, 28, 25]",2440.408928129572,95.0,0
"[35, 31, 28, 36, 35, 35, 34, 38, 36, 32, 33, 34, 31, 36, 27, 23, 28, 25]",2440.408928129572,95.0,1
"[35, 31, 28, 36, 35, 35, 34, 38, 36, 32, 33, 34, 31, 36, 27, 23, 28, 25]",2440.408928129572,95.0,1
"[35, 31, 28, 36, 35, 35, 35, 36, 37, 32, 33, 34, 31, 36, 27, 23, 28, 25]",2435.4642903240074,97.5,0
"[35, 31, 28, 36, 35, 35, 35, 36, 36, 33, 33, 34, 31, 36, 27, 23, 28, 25]",2424.738247962403,100.0,0
"[35, 31, 28, 35, 36, 35, 35, 36, 36, 33, 33, 34, 31, 36, 27, 23, 28, 25]",2424.738247962403,100.0,1
"[35, 31, 28, 36, 35, 35, 35, 35, 37, 33, 33, 34, 31, 36, 27, 23, 28, 25]",2422.969148746263,102.5,0
"[35, 31, 28, 36, 35, 35, 35, 34, 37, 34, 33, 34, 31, 36, 27, 23, 28, 25]",2416.0448790554,107.5,0
"[35, 31, 28, 35, 36, 35, 35, 34, 37, 34, 33, 34, 31, 36, 27, 23, 28, 25]",2416.0448790554,107.5,1
"[35, 31, 28, 36, 35, 35, 35, 33, 37, 35, 33, 34, 31, 36, 27, 23, 28, 25]",2414.936473311622,112.5,0
